model,dataset,K,effective_K,auroc
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,2,2,0.8626233479999998
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,2,2,0.8625234490625
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,2,2,0.606695332
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,3,3,0.7799811610766819
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,3,3,0.8590262688260131
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,3,3,0.8578680893333333
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,3,3,0.812564706
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,3,3,0.8066266325
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,3,3,0.58477211
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,4,4,0.7762846708258984
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,4,4,0.8557606225975172
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,4,4,0.8617910653333333
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,4,4,0.8219856059999999
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,4,4,0.825819529375
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,4,4,0.5871577640000001
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,5,5,0.7761032694582348
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,5,5,0.8542403869178903
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,5,5,0.8642501106666667
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,5,5,0.829380824
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,5,5,0.8394976075
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,5,5,0.588850836
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,6,6,0.7596962086326178
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,6,6,0.845290591719705
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,6,6,0.8604125253333332
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,6,6,0.802653154
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,6,6,0.8146011318749999
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,6,6,0.588383678
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,7,7,0.7585345626550197
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,7,7,0.848526810763123
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,7,7,0.8596626260000001
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,7,7,0.81650558
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,7,7,0.8171007684375
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,7,7,0.586845788
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,8,8,0.7602698746705827
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,8,8,0.8512863268006806
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,8,8,0.8624216693333334
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,8,8,0.837881306
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,8,8,0.8245701750000001
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,8,8,0.589086598
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,9,9,0.7579563249404253
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,9,9,0.8526112458251938
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,9,9,0.861791448
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,9,9,0.8470316980000001
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,9,9,0.8239805584375001
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,9,9,0.58792344
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,10,10,0.7573636006219394
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,10,10,0.8501310983678871
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,10,10,0.8635969626666666
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,10,10,0.8599888120000001
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,10,10,0.8348127453125
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,10,10,0.591458932
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,11,11,0.7566881174732306
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,11,11,0.8492497813346777
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,11,11,0.8647523399999999
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,11,11,0.869551884
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,11,11,0.8392657059374999
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,11,11,0.59331088
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,12,12,0.7554433092627556
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,12,12,0.8470288209717058
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,12,12,0.8646989626666666
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,12,12,0.8697270699999999
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,12,12,0.842910013125
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,12,12,0.594024174
swin_tiny_patch4_window7_224.ms_in1k,NINCO_OOD_classes,13,13,0.7539855803614606
swin_tiny_patch4_window7_224.ms_in1k,openimages_o,13,13,0.8457831142479048
swin_tiny_patch4_window7_224.ms_in1k,imagenet_r,13,13,0.8644501573333334
swin_tiny_patch4_window7_224.ms_in1k,imagenet_c,13,13,0.87040055
swin_tiny_patch4_window7_224.ms_in1k,imagenet_es,13,13,0.8442456725
swin_tiny_patch4_window7_224.ms_in1k,imagenet_v2,13,13,0.5946500279999999
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,1,1,0.897061438976297
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,1,1,0.9578026440562613
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,1,1,0.8723693966666667
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,1,1,0.7481741
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,1,1,0.7341934809374999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,1,1,0.5951580140000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,2,2,0.9083708409589197
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,2,2,0.9640141436025407
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,2,2,0.8884186053333334
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,2,2,0.8434624580000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,2,2,0.8169850918750001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,2,2,0.607777008
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,3,3,0.8603736356545835
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,3,3,0.92925902676951
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,3,3,0.873769222
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,3,3,0.8020701179999999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,3,3,0.7915267890625
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,3,3,0.606366088
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,4,4,0.8510680986735861
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,4,4,0.927770914246824
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,4,4,0.8659396533333332
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,4,4,0.775184356
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,4,4,0.7657665387500001
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,4,4,0.5972801820000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,5,5,0.8558478825911005
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,5,5,0.9323436966878402
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,5,5,0.8744454413333334
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,5,5,0.81776222
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,5,5,0.7877464740624999
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,5,5,0.6090079700000001
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,6,6,0.8518881126390397
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,6,6,0.9331730818965518
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,6,6,0.8709667313333334
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_c,6,6,0.804238962
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_es,6,6,0.7771880675
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_v2,6,6,0.600185524
vit_base_patch16_224.augreg2_in21k_ft_in1k,NINCO_OOD_classes,7,7,0.8517725036042083
vit_base_patch16_224.augreg2_in21k_ft_in1k,openimages_o,7,7,0.9332462840290381
vit_base_patch16_224.augreg2_in21k_ft_in1k,imagenet_r,7,7,0.872169156
